City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
Mataura,NZ,-46.19,168.86,53.58,82,93,1.21,1597804350
Daru,PG,-9.08,143.21,80.26,60,1,9.22,1597804351
Ponta do Sol,PT,32.67,-17.1,71.6,78,20,0.96,1597804351
Ushuaia,AR,-54.8,-68.3,32.0,90,40,8.05,1597804282
New Norfolk,AU,-42.78,147.06,53.01,80,35,1.99,1597804352
George Town,MY,5.41,100.34,84.2,83,20,4.7,1597804352
Tasiilaq,GL,65.61,-37.64,44.6,65,60,4.7,1597804353
Hobart,AU,-42.88,147.33,55.99,54,40,9.17,1597804303
Port Elizabeth,ZA,-33.92,25.57,48.2,87,40,17.22,1597804354
Pevek,RU,69.7,170.31,44.06,71,53,12.3,1597804098
Sabang,ID,5.89,95.32,82.54,73,88,4.59,1597804356
Medicine Hat,CA,50.05,-110.67,84.2,37,20,4.7,1597804357
Muravlenko,RU,63.79,74.52,61.77,67,93,16.84,1597804337
Te Anau,NZ,-45.42,167.72,51.8,85,85,1.43,1597804357
Atuona,PF,-9.8,-139.03,79.11,73,1,20.74,1597804358
Vaini,TO,-21.2,-175.2,73.4,100,90,12.75,1597804359
Ahipara,NZ,-35.17,173.17,60.78,80,9,13.4,1597804360
Keflavik,IS,64.0,-22.56,53.6,93,75,13.87,1597804360
Pangody,RU,65.85,74.49,62.42,62,100,16.64,1597804361
Voh,NC,-20.97,164.7,76.26,48,1,6.44,1597804361
Bambous Virieux,MU,-20.34,57.76,71.6,68,75,13.87,1597804363
Longyearbyen,SJ,78.22,15.64,41.0,80,75,12.75,1597804326
Semey,KZ,50.41,80.23,64.4,59,79,6.71,1597804364
Kruisfontein,ZA,-34.0,24.73,48.4,80,82,16.78,1597804365
Dikson,RU,73.51,80.55,55.15,72,0,11.03,1597804365
Lompoc,US,34.64,-120.46,72.0,68,1,9.17,1597804366
Qandala,SO,11.47,49.87,89.71,45,99,8.61,1597804366
Nikolskoye,RU,59.7,30.79,50.0,87,0,4.47,1597804366
Bluff,NZ,-46.6,168.33,50.41,91,94,5.53,1597804368
Szczecinek,PL,53.71,16.7,62.01,82,97,3.13,1597804368
East London,ZA,-33.02,27.91,54.25,63,82,27.87,1597804370
Mezen',RU,65.85,44.24,46.02,82,94,7.07,1597804370
Riyadh,SA,24.69,46.72,75.2,29,6,9.28,1597804305
Mossamedes,AO,-15.2,12.15,60.1,79,4,3.33,1597804372
Cherskiy,RU,68.75,161.3,46.38,80,100,7.47,1597804372
San Patricio,MX,19.22,-104.7,77.5,87,100,4.12,1597804373
Yellowknife,CA,62.46,-114.35,63.0,72,75,9.17,1597804300
Guajará,BR,-2.97,-57.67,80.89,52,88,1.74,1597804375
Portland,US,45.52,-122.68,82.4,42,20,9.17,1597804375
